date, pm25, pm10, o3, no2, so2, co
2023/9/6, 11, 9, 4, 3, 13, 3
2023/9/7, 12, 10, 3, 3, 13, 3
2023/9/8, 15, 9, 3, 3, 13, 3
2023/9/9, 12, 7, 3, 2, 12, 4
2023/9/10, 10, 9, 3, 3, 12, 4
2023/9/11, 12, 10, 3, 6, 12, 4
2023/9/12, 14, 9, 3, 6, 13, 4
2023/9/13, 13, 9, 3, 6, 12, 4
2023/9/14, 13, 9, 3, 5, 12, 3
2023/9/15, 12, 9, 3, 2, 12, 4
2023/9/16, 11, 12, 3, 2, 13, 4
2023/9/17, 17, 12, 5, 4, 13, 4
2023/9/18, 17, 9, 6, 3, 13, 2
2023/9/19, 13, 10, 6, 2, 13, 3
2023/9/20, 15, 11, 6, 2, 13, 3
2023/9/21, 16, 11, 10, 1, 13, 2
2023/9/22, 16, 13, 10, 2, 13, 3
2023/9/23, 19, 14, 10, 2, 13, 4
2023/9/24, 21, 16, 11, 2, 13, 6
2023/9/25, 25, 12, 10, 3, 13, 4
2023/9/26, 18, 10, 10, 2, 13, 4
2023/9/27, 14, 10, 10, 1, 13, 3
2023/9/28, 14, 13, 10, 3, 13, 3
2023/9/29, 19, 7, 10, 2, 13, 4
2023/9/30, 10, 9, 10, 2, 13, 4
2023/4/1, 17, 19, 3, 19, 10, 2
2023/4/2, 15, 16, 3, 19, 10, 2
2023/4/3, 14, 23, 3, 19, 10, 2
2023/4/4, 13, 13, 4, 20, 10, 3
2023/4/5, 9, 14, 3, 21, 10, 3
2023/4/6, 9, 10, 4, 20, 10, 2
2023/4/7, 9, 13, 3, 19, 10, 2
2023/4/8, 12, 23, 3, 20, 10, 3
2023/4/9, 14, 43, 4, 20, 10, 3
2023/4/10, 12, 42, 4, 22, 10, 4
2023/4/13, 37, 30, 3, 21, 10, 3
2023/4/14, 45, 38, 4, 20, 10, 2
2023/4/15, 58, 30, 4, 20, 10, 3
2023/4/16, 46, 35, 3, 22, 10, 4
